"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"26/04/2021","MTNGH","0.96","0.64","0.96","0.96","0.96","0.96","0","0.96","1.00","75,687.00","72,659.52"
"23/04/2021","MTNGH","0.96","0.64","0.96","0.96","0.96","0.96","0","0.96","","40,050.00","38,448.00"
"22/04/2021","MTNGH","0.96","0.64","0.96","0.96","0.96","0.96","0","0.96","","23,267.00","22,336.32"
"21/04/2021","MTNGH","0.96","0.64","0.95","0.95","0.96","0.96","0.01","0.95","0.96","11,039.00","10,597.44"
"20/04/2021","MTNGH","0.95","0.64","0.94","0.94","0.95","0.95","0.01","0.95","0.97","159,539.00","151,122.46"
"19/04/2021","MTNGH","0.94","0.64","0.93","0.93","0.94","0.94","0.01","0.94","0.97","9,279.00","8,722.26"
"16/04/2021","MTNGH","0.93","0.64","0.93","0.93","0.93","0.93","0","0.94","1.00","15,500.00","14,415.00"
"15/04/2021","MTNGH","0.93","0.64","0.93","0.93","0.93","0.93","0","0.94","1.00","5,358,011.00","4,982,950.23"
"14/04/2021","MTNGH","0.93","0.64","0.93","0.93","0.93","0.93","0","0.90","0.93","1,279,136.00","1,189,206.48"
"13/04/2021","MTNGH","0.93","0.64","0.93","0.93","0.93","0.93","0","0.93","0.97","102,900.00","95,697.00"
"12/04/2021","MTNGH","0.93","0.64","0.93","0.93","0.93","0.93","0","0.93","0.97","688,670.00","640,463.10"
"09/04/2021","MTNGH","0.93","0.64","0.89","0.89","0.93","0.93","0.04","0.89","","2,166,829.00","2,004,710.69"
"08/04/2021","MTNGH","0.89","0.64","0.89","0.89","0.89","0.89","0","0.85","0.89","1,600.00","1,424.00"
