"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"08/07/2011","TOTAL","20.00","10.00","20.00","20.00","20.00","20.00","0","20.00","","0.00",""
"07/07/2011","TOTAL","20.00","10.00","20.00","20.00","20.00","20.00","0","20.00","","0.00",""
"06/07/2011","TOTAL","20.00","10.00","20.00","20.00","20.00","20.00","0","20.00","","0.00",""
"05/07/2011","TOTAL","20.00","10.00","20.00","20.00","20.00","20.00","0","","","0.00",""
"04/07/2011","TOTAL","20.00","10.00","17.80","17.80","17.80","20.00","2.2","17.90","","1,000.00",""
"30/06/2011","TOTAL","17.80","10.00","17.80","17.80","17.80","17.80","0","17.83","","0.00",""
"29/06/2011","TOTAL","17.80","10.00","17.80","17.80","17.80","17.80","0","17.81","","0.00",""
"28/06/2011","TOTAL","17.80","10.00","17.80","17.80","17.80","17.80","0","17.83","","0.00",""
"27/06/2011","TOTAL","17.80","10.00","17.67","17.67","17.80","17.80","0.13","17.80","","100.00",""
"24/06/2011","TOTAL","17.67","10.00","17.61","17.61","17.74","17.67","0.06","17.74","","800.00",""
"23/06/2011","TOTAL","17.61","10.00","17.61","17.61","17.61","17.61","0","17.63","","0.00",""
"22/06/2011","TOTAL","17.61","10.00","17.52","17.52","17.61","17.61","0.09","17.60","","300.00",""
"21/06/2011","TOTAL","17.52","10.00","17.52","17.52","17.54","17.52","0","17.53","","0.00",""
"20/06/2011","TOTAL","17.52","10.00","17.50","17.50","17.54","17.52","0.02","17.54","","200.00",""
"17/06/2011","TOTAL","17.50","10.00","17.50","17.50","17.50","17.50","0","17.52","","0.00",""
"16/06/2011","TOTAL","17.50","10.00","17.50","17.50","17.50","17.50","0","17.52","","0.00",""
"15/06/2011","TOTAL","17.50","10.00","17.50","17.50","17.50","17.50","0","17.51","","0.00",""
"14/06/2011","TOTAL","17.50","10.00","17.50","17.50","17.50","17.50","0","17.52","","0.00",""
"13/06/2011","TOTAL","17.31","10.00","17.50","17.50","17.50","17.50","0","17.30","","900.00",""
"10/06/2011","TOTAL","17.31","10.00","17.50","17.50","17.50","17.50","0","17.61","","0.00",""
"09/06/2011","TOTAL","17.31","10.00","17.50","17.50","17.50","17.50","0","17.61","","0.00",""
"08/06/2011","TOTAL","17.31","10.00","17.50","17.50","17.50","17.50","0","17.51","","0.00",""
"07/06/2011","TOTAL","17.31","10.00","17.50","17.50","17.50","17.50","0","17.60","","0.00",""
"06/06/2011","TOTAL","17.31","10.00","17.31","17.31","17.50","17.50","0.19","17.50","","100.00",""
"03/06/2011","TOTAL","17.31","10.00","17.31","17.31","17.31","17.31","0","17.50","","0.00",""
